序号,效力层级,法规名称,发布机关,文号,发布/现行版本日期,时效性,适用范围,来源,来源URL
389,地方工作文件,深圳市盐田区人民政府办公室印发盐田区关于促进低空经济产业创新发展的若干措施的通知,深圳市盐田区人民政府,,2024-05-06,现行有效,宏观经济体制改革,库存-pkulaw全量,https://www.pkulaw.com/lar/8abdbc6c6870548b2d04b2861a7c131abdfb.html
390,地方工作文件,深圳市龙华区促进低空经济产业高质量发展若干措施,深圳市龙华区人民政府,深龙华府办规〔2023〕6号,2023-10-15,现行有效,质量综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/a5becbd03803addfaa9dfdc079cf7ff0bdfb.html
391,地方规范性文件,深圳市龙岗区发展和改革局关于印发《深圳市龙岗区关于支持低空经济产业高质量发展的若干措施(修订)》的通知,深圳市龙岗区发展和改革局,深龙发改规〔2026〕1号,2026-04-01,现行有效,区域经济开发 国家产业政策 城市规划与开发建设 计划综合规定 经济技术开发区,库存-pkulaw全量,https://www.pkulaw.com/lar/de84347f113cfa83419b1fb116419180bdfb.html
392,地方规范性文件,深圳市龙岗区工业和信息化局关于印发《龙岗区关于促进低空经济产业发展的若干措施》的通知,深圳市龙岗区工业和信息化局,深龙工信规〔2023〕14号,2023-12-31,现行有效,国家产业政策 区域经济开发 经济技术开发区 计划综合规定 资源综合利用,库存-pkulaw全量,https://www.pkulaw.com/lar/55372e543e88c714702e3a42b3310997bdfb.html
393,行业规定,深圳证券交易所关于为常熟市吴越产业投资集团有限公司2025年面向专业投资者非公开发行科技创新公司债券(第一期)(低空经济)提...,深圳证券交易所,,2026-01-06,现行有效,证券交易所与业务管理 债券 非公开发行 公开发行 证券服务机构与业务管理,库存-pkulaw全量,https://www.pkulaw.com/chl/6b99821e534bb8eabdfb.html
394,行业规定,深圳证券交易所关于为广州凯得投资控股有限公司2025年面向专业投资者非公开发行科技创新可续期公司债券(第二期)(用于低空经济...,深圳证券交易所,,2025-12-25,现行有效,债券 证券交易所与业务管理 非公开发行 公开发行 证券信息公开,库存-pkulaw全量,https://www.pkulaw.com/chl/174d93e0efb58365bdfb.html
395,地方工作文件,清远市人民政府办公室关于印发《清远市低空经济高质量发展三年行动方案(2024―2026年)》的通知,清远市人民政府,清府办函〔2024〕94号,2024-10-25,现行有效,建设综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/b51f9dc06d49119f505c6d81c59cb582bdfb.html
396,地方工作文件,清远市人民政府办公室关于成立清远市低空经济高质量发展工作专班的通知,清远市人民政府,清府办函〔2024〕51号,2024-06-20,现行有效,质量综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/f2dce9e4ff6697ad5a5fa40e340228febdfb.html
397,地方工作文件,湖北省发改委关于公布湖北省第一批低空经济应用场景能力和需求清单的通知,湖北省发展和改革委员会,,2025-12-26,现行有效,区域经济开发,库存-pkulaw全量,https://www.pkulaw.com/lar/a380c744b968f0b27e253744f2c99cbfbdfb.html
398,地方工作文件,湖北省发改委关于印发湖北省加快低空经济高质量发展行动方案(2024—2027年)的通知,湖北省发展和改革委员会,鄂发改民航〔2024〕211号,2024-07-18,现行有效,计划综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/01d93b8c88065ebb5f88493edbc2dbffbdfb.html
399,地方规范性文件,湖南省人民政府办公厅印发《关于支持全省低空经济高质量发展的若干政策措施》的通知,湖南省人民政府,湘政办发〔2024〕20号,2024-07-01,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/lar/d1400963aa8297b3a2c7c72b131344a2bdfb.html
400,地方工作文件,湛江市人民政府办公室关于印发湛江市推动低空经济高质量发展行动方案(2024―2026年)的通知,湛江市人民政府,,2024-09-22,现行有效,计划综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/ce0cde00da658a91f05b4b34d5e764a4bdfb.html
401,地方工作文件,湛江市人民政府办公室关于成立湛江市推动低空经济高质量发展工作专班的通知,湛江市人民政府,,2024-09-06,现行有效,机关工作综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/c242d53a6c210d8c1b121c26c471151abdfb.html
402,地方工作文件,潮州市人民政府办公室关于成立潮州市推动低空经济高质量发展工作专班的通知,潮州市人民政府,,2024-12-09,现行有效,机关工作综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/7a3cf970638ce1208baf8911d011753dbdfb.html
403,地方工作文件,玉林市人民政府办公室关于印发《玉林市低空经济高质量发展实施方案(2024—2026年)》的通知,玉林市人民政府,玉政办发〔2025〕2号,2025-01-25,现行有效,行业经济体制改革,库存-pkulaw全量,https://www.pkulaw.com/lar/b2554d6bb028438192bbf8c2a2203d79bdfb.html
404,地方工作文件,环江毛南族自治县人民政府办公室关于成立推动低空经济发展工作专班的通知,环江毛南族自治县人民政府,环政办发〔2026〕6号,2026-02-02,现行有效,民族自治区域 机构编制 少数民族财政经济 少数民族事务综合 计划综合规定 营商环境优化,库存-pkulaw全量,https://www.pkulaw.com/lar/3ba23eac846785748727ac2dd571db51bdfb.html
405,地方工作文件,珠海市人民政府关于印发支持低空经济高质量发展若干措施的通知,珠海市人民政府,珠府〔2024〕45号,2024-06-12,现行有效,经济技术开发区,库存-pkulaw全量,https://www.pkulaw.com/lar/4bb06e6f32724435046f238d9fac9100bdfb.html
406,地方工作文件,珠海市工业和信息化局关于开展2025年度珠海市促进实体经济高质量发展专项资金(低空经济产业发展项目)入库申报工作的通知,珠海市工业和信息化局,,2025-06-04,现行有效,专项资金管理 航空运输 国家产业政策 区域经济开发 科技进步与经费,库存-pkulaw全量,https://www.pkulaw.com/lar/28741111a78bc8a161da74d9b8b102cebdfb.html
407,地方工作文件,珠海市市场监督管理局、珠海市发展和改革局、中山市市场监督管理局、中山市发展和改革局、江门市市场监督管理局、江门市发展...,珠海市市场监督管理局 珠海市发展和改革局 中山市市场监督管理局 中山市发展和改革局 江门,,2026-03-18,现行有效,国家标准管理 机关工作综合规定 城市规划与开发建设 行业标准管理 区域经济开发,库存-pkulaw全量,https://www.pkulaw.com/lar/6651430aa91d00827a89e8728d7ee4f8bdfb.html
408,地方规范性文件,珠海市自然资源局关于印发《关于优化规划管理支持低空经济高质量发展的若干措施(试行)》的通知,珠海市自然资源局,珠自然资字〔2026〕135号,2026-04-08,现行有效,城市规划与开发建设 资源综合利用 区域经济开发 土地利用和治理 国家计划,库存-pkulaw全量,https://www.pkulaw.com/lar/bfe4c23b2ee09c73bc2e73fb0fb76dfcbdfb.html
409,地方工作文件,甘肃省发展和改革委员会关于征集甘肃省低空经济应用场景能力及需求清单的通知,甘肃省发展和改革委员会,,2026-01-04,现行有效,国家计划 宏观调控 经济统计 国家产业政策 城市规划与开发建设,库存-pkulaw全量,https://www.pkulaw.com/lar/680f41df367eeb748718a58a13f901f0bdfb.html
410,地方工作文件,甘肃省退役军人事务厅关于举办甘肃省低空经济领域退役军人创业创新和转型发展训练营的公告,甘肃省退役军人事务厅,,2025-12-11,现行有效,退伍军人安置 招工与就业 优抚制度 军队离退休干部 兵役制度,库存-pkulaw全量,https://www.pkulaw.com/lar/b2966e429424d2e42f3896e5a396ffddbdfb.html
411,地方工作文件,石家庄市人民政府办公室关于印发《石家庄市低空经济产业发展规划(2025―2030年)》的通知,石家庄市人民政府,石政办发〔2025〕13号,2025-07-27,现行有效,行政机关 公文处理 法规规章制定与发布,库存-pkulaw全量,https://www.pkulaw.com/lar/d8f5df36d6a5ced337cd8b14194569d3bdfb.html
412,地方工作文件,福州市科学技术局关于转发《福建省科学技术厅关于征集低空经济科技成果推介对接活动参会项目和技术需求的通知》的通知,福州市科学技术局,,2025-09-05,现行有效,科学研究与科技项目 科技计划 技术开发转让服务与咨询 科技进步与经费,库存-pkulaw全量,https://www.pkulaw.com/lar/add57636d31fb5a82d5486465b20bf04bdfb.html
413,地方规范性文件,绍兴市上虞区交通运输局、绍兴市上虞区财政局、绍兴市上虞区经济和信息化局、绍兴市上虞区教育体育局、绍兴市上虞区文化广电...,绍兴市上虞区交通运输局 绍兴市上虞区财政局 绍兴市上虞区经济和信息化局 绍兴市上虞区教育,,2025-11-27,现行有效,区域经济开发 交通运输综合规定 国家计划 国家产业政策 城市规划与开发建设,库存-pkulaw全量,https://www.pkulaw.com/lar/9f3d19583c705eb0a2bb61065f6b540bbdfb.html
414,地方工作文件,绍兴市人民政府关于推进低空经济高质量发展的实施意见,绍兴市人民政府,绍政发〔2024〕10号,2024-08-08,部分废止或失效,财政综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/4bd3748dc96283d9ffe566cb315aa6dabdfb.html
415,地方工作文件,绍兴市柯桥区人民政府关于推进低空经济高质量发展的实施意见,绍兴市柯桥区人民政府,绍柯政发〔2025〕2号,2025-05-12,现行有效,宏观经济体制改革,库存-pkulaw全量,https://www.pkulaw.com/lar/9e9c35a752e770b625cf3f190c0cc012bdfb.html
416,地方工作文件,绵阳市发展和改革委员会关于购买服务编制《绵阳市“十五五”低空经济发展探索研究》市场价格调查的公告,绵阳市发展和改革委员会,,2024-08-20,现行有效,宏观调控 市场管理 经济统计 工业品价格管理 政府采购,库存-pkulaw全量,https://www.pkulaw.com/lar/6d94304cb7b97b0afeaee7d76b1b5d03bdfb.html
417,地方工作文件,自贡市人民政府办公室关于印发《自贡市促进低空经济高质量发展行动方案(2024—2027年)》的通知,自贡市人民政府,自府办发〔2024〕37号,2024-07-17,现行有效,质量综合规定 营商环境优化,库存-pkulaw全量,https://www.pkulaw.com/lar/97267a1d3811a13cbf7888c1e297984bbdfb.html
418,地方工作文件,苏州市市场监督管理局关于印发《苏州市低空经济系统标准体系建设指南》的通知,苏州市市场监督管理局,,2024-11-19,现行有效,标准化综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/5f385fbce06870f550ff0d25a76490dbbdfb.html
419,地方工作文件,苏州市市场监督管理局关于组织申报2024年度苏州市地方标准项目(低空经济专项)的通知,苏州市市场监督管理局,苏市监管标函〔2024〕2号,2024-06-03,现行有效,标准化综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/d1e0e70febb082c1ae854c8bcf21643bbdfb.html
420,地方工作文件,苏州市政府办公室关于印发苏州市低空经济高质量发展实施方案(2024～2026年)的通知,苏州市人民政府,苏府办〔2024〕26号,2024-02-06,现行有效,区域经济开发,库存-pkulaw全量,https://www.pkulaw.com/lar/37d253f51d2efd8c03484c22ed13d1ccbdfb.html
421,地方工作文件,茂名市人民政府办公室关于印发《茂名市推动低空经济高质量发展实施方案(2024—2026年)》的通知,茂名市人民政府,茂府办〔2024〕20号,2024-09-07,现行有效,质量综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/4b3eebf352400101e898823e4071bc1abdfb.html
422,地方工作文件,茂名市人民政府办公室关于成立茂名市推动低空经济高质量发展工作专班的通知,茂名市人民政府,,2024-07-29,现行有效,质量综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/1c3b3100ac4e0ecbae85e34c9bfc8611bdfb.html
423,地方工作文件,荆门市人民政府办公室关于印发荆门市加快低空经济高质量发展行动方案(2024—2027年)的通知,荆门市人民政府,荆政办发〔2024〕31号,2024-10-23,现行有效,机关工作综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/649ad7caf6fed96bd5016e280aacd955bdfb.html
424,地方工作文件,荆门市人民政府办公室印发荆门市关于支持低空经济高质量发展若干措施的通知,荆门市人民政府,荆政办发〔2025〕7号,2025-03-02,已被修改,行业经济体制改革,库存-pkulaw全量,https://www.pkulaw.com/lar/7a07c8ecb0e4db26c054e7462f9420c7bdfb.html
425,地方工作文件,贵州省人民政府办公厅关于印发《贵州省低空经济高质量发展三年行动方案(2025—2027年)》的通知,贵州省人民政府,黔府办发〔2025〕13号,2025-08-06,现行有效,质量综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/4fd8f7fecc00a8b7aa345f2cc870e4c2bdfb.html
426,地方工作文件,贵阳市人民政府办公厅、贵安新区办公室关于印发贵阳贵安低空经济高质量发展实施方案(2025—2027年)的通知,贵阳市人民政府 贵安新区办公室,筑府办发〔2025〕7号,2025-09-29,现行有效,区域经济开发 计划综合规定 城市规划与开发建设 经济技术开发区 国家产业政策,库存-pkulaw全量,https://www.pkulaw.com/lar/498e5ada522b4c31fb9330d7c15d6885bdfb.html
427,地方工作文件,郁南县人民政府办公室关于成立郁南县推动低空经济高质量发展工作专班的通知,郁南县人民政府,郁府办函〔2025〕18号,2025-03-16,现行有效,水利综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/db0188f0a2310cb69d3166f549163b64bdfb.html
428,地方工作文件,郑州市人民政府办公室关于印发郑州市加快培育低空经济产业创新发展行动方案(2024—2026年)的通知,郑州市人民政府,郑政办〔2024〕38号,2024-07-26,现行有效,区域经济开发,库存-pkulaw全量,https://www.pkulaw.com/lar/81efdad95382b065564ca78a3ad95b84bdfb.html
429,地方规范性文件,郑州航空港经济综合实验区管理委员会关于印发郑州航空港经济综合实验区支持低空经济产业高质量发展若干措施的通知,郑州航空港经济综合实验区管理委员会,郑港〔2025〕14号,2025-04-30,现行有效,机关工作综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/1127bc8a4c48332d9e4a80cd3406b7e6bdfb.html
430,地方工作文件,郴州市人民政府办公室关于印发《郴州市低空经济高质量发展行动方案(2025―2027年)》的通知,郴州市人民政府,郴政办发〔2025〕18号,2025-07-23,现行有效,区域经济开发 国家产业政策 宏观经济体制改革 国家计划 宏观调控,库存-pkulaw全量,https://www.pkulaw.com/lar/b31243559989357d7124e0bf1b5adb12bdfb.html
431,地方工作文件,重庆市人民政府办公厅关于印发《重庆市推动低空空域管理改革促进低空经济高质量发展行动方案(2024—2027年)》的通知,重庆市人民政府,渝府办发〔2024〕74号,2024-09-21,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/lar/efeb5efd044f11440aec76368cb360c4bdfb.html
432,地方规范性文件,重庆市人民政府办公厅关于印发《重庆市推动低空经济高质量发展若干政策措施》的通知,重庆市人民政府,渝府办发〔2025〕58号,2025-11-22,现行有效,国家产业政策 资源综合利用 国家计划 航空运输,库存-pkulaw全量,https://www.pkulaw.com/lar/e6d329994f29cd5171c3823450960a66bdfb.html
433,地方工作文件,重庆市发展和改革委员会关于发布重庆市2025年第一批低空经济应用场景机会清单和能力清单的公告,重庆市发展和改革委员会,,2025-06-06,现行有效,机关工作综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/fbdf1134829648e5b7a93be67aa02173bdfb.html
434,地方工作文件,重庆市发展和改革委员会关于比选《打造成渝地区低空经济新增长引擎研究》课题研究单位的公告,重庆市发展和改革委员会,,2024-09-30,现行有效,宏观经济体制改革,库存-pkulaw全量,https://www.pkulaw.com/lar/3a2091d2ad8f7bfd9334d2ccbc25700bbdfb.html
435,地方工作文件,重庆市经济和信息化委员会关于组织开展重庆市低空经济产业试点区县征集的通知,重庆市经济和信息化委员会,渝经信装备〔2024〕6号,2024-03-20,现行有效,机关工作综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/a5a4ae3671511d38736dc2cad63aa0fdbdfb.html
436,地方工作文件,金华市人民政府办公室关于印发《金华市推动低空经济高质量发展实施方案(2024—2027年)》的通知,金华市人民政府,金政办发〔2024〕44号,2024-12-15,现行有效,机关工作综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/b9ae44a1d309ead03eae688042cacd2bbdfb.html
437,地方工作文件,镇江经济技术开发区党政办公室关于印发《镇江经开区低空经济高质量发展三年实施方案(2024—2026年)》的通知,镇江经济技术开发区党政办公室,镇经开办发〔2024〕32号,2024-11-22,现行有效,经济技术开发区,库存-pkulaw全量,https://www.pkulaw.com/lar/c47d5bdcc8f0d3ab0d17a7467ec7ac11bdfb.html
438,地方规范性文件,长春净月高新技术产业开发区管理委员会关于印发《长春净月高新区促进低空经济产业高质量发展的若干措施(试行)》的通知,长春净月高新技术产业开发区管理委员会,长净管规字〔2024〕3号,2024-06-01,现行有效,高新技术产业开发区 经济技术开发区 国家产业政策 区域经济开发 土地利用和治理,库存-pkulaw全量,https://www.pkulaw.com/lar/1446e3c7d4af631decb7178762879ab7bdfb.html
439,地方工作文件,长沙市发展和改革委员会关于印发《长沙市推动低空经济高质量发展实施方案(2024—2026年)》的通知,长沙市发展和改革委员会,长发改基础〔2024〕41号,2024-06-11,现行有效,宏观经济体制改革,库存-pkulaw全量,https://www.pkulaw.com/lar/1737d79dea62905aaed9474f8e2c6423bdfb.html
440,地方工作文件,长治市人民政府办公室关于印发长治市加快推进低空经济和通用航空业高质量发展工作方案的通知,长治市人民政府,长政办发〔2024〕14号,2024-06-04,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/lar/be7864a6bd0dcc5040fc443bc808ad42bdfb.html
441,地方工作文件,阳江市人民政府办公室关于成立阳江市推动低空经济高质量发展工作专班的通知,阳江市人民政府,阳府办函〔2025〕2号,2025-01-08,现行有效,质量综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/7d4bd13a52c181935d800aacd9ece988bdfb.html
442,地方工作文件,陕西省发展和改革委员会关于征集低空经济应用场景供给和需求清单的通知,陕西省发展和改革委员会,,2026-06-05,现行有效,国家计划 资源综合利用 国家产业政策 宏观调控 航空运输,库存-pkulaw全量,https://www.pkulaw.com/lar/cd37e9d0b14a62abb6fc89321a429d74bdfb.html
443,地方工作文件,陕西省发展和改革委员会关于确定陕西省低空经济布局优化与突破发展思路研究课题承担单位的公告,陕西省发展和改革委员会,,2026-05-13,现行有效,科学研究与科技项目 国家计划 宏观调控 区域经济开发 宏观经济体制改革,库存-pkulaw全量,https://www.pkulaw.com/lar/c79ed2dc609942fe48da8a626c4b1c51bdfb.html
444,地方规范性文件,青岛市人民政府办公厅关于印发青岛市促进低空经济高质量发展实施方案的通知,青岛市人民政府,青政办字〔2024〕35号,2024-10-08,现行有效,经济技术开发区,库存-pkulaw全量,https://www.pkulaw.com/lar/f7ed55c8dfc2485266137d10872b0fa8bdfb.html
445,地方工作文件,鞍山市科学技术局对市政协十五届四次会议《关于我市发展低空经济的建议》第071号提案的答复,鞍山市科学技术局,,2025-06-27,现行有效,职业与职工教育 教育改革 高等教育 国家产业政策 航空运输,库存-pkulaw全量,https://www.pkulaw.com/lar/4e290de8b06bea53a813b9d3e49c10e9bdfb.html
446,地方工作文件,鞍山市科学技术局对市政协十五届四次会议《发展鞍山市低空经济产业建设的提案》第199号提案的答复,鞍山市科学技术局,,2025-06-27,现行有效,职业与职工教育 教育改革 国家产业政策 高等教育 国家计划,库存-pkulaw全量,https://www.pkulaw.com/lar/89d3422c504b2422abbfbca23e7b95a8bdfb.html
447,地方工作文件,黄冈市人民政府办公室关于印发《黄冈市加快低空经济高质量发展实施方案(2025—2027年)》的通知,黄冈市人民政府,黄政办发〔2025〕9号,2025-06-23,现行有效,国家产业政策 区域经济开发 宏观经济体制改革 航空运输 国家计划,库存-pkulaw全量,https://www.pkulaw.com/lar/a4bb9beff04dca94b78de34be108a108bdfb.html
448,地方工作文件,黑龙江省发展和改革委员会、黑龙江省交通运输厅、黑龙江省工业和信息化厅、黑龙江省科学技术厅、黑龙江省财政厅关于印发《黑...,黑龙江省发展和改革委员会 黑龙江省交通运输厅 黑龙江省工业和信息化厅 黑龙江省科学技术,黑发改交通规〔2024〕1号,2024-08-01,现行有效,机械工业,库存-pkulaw全量,https://www.pkulaw.com/lar/b728b2553846ed2533e800ed61941cc4bdfb.html
449,地方工作文件,龙华区低空经济试验区2024年度建设方案,深圳市龙华区人民政府,深龙华府办函〔2024〕3号,2024,现行有效,建设综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/97b062d935c5b54f673ff9060b3e359ebdfb.html
450,地方工作文件,上海市交通委员会关于2026世界人工智能大会暨人工智能全球治理高级别会议期间无人驾驶航空器临时管制空域范围的通告,上海市交通委员会,沪交空〔2026〕314号,2026-07-13,现行有效,航空运输 交通安全管理,库存-pkulaw全量,https://www.pkulaw.com/lar/201edafbd182b1530f78e261d63d4e5cbdfb.html
451,地方工作文件,上海市人民政府关于公布微型轻型小型无人驾驶航空器适飞空域范围的通告,上海市人民政府,沪府发〔2025〕14号,2025-12-24,现行有效,航空运输 机械工业管理 互联网 科技综合规定与体改 铁路公路机场用地,库存-pkulaw全量,https://www.pkulaw.com/lar/dacbdcf218cf668098a504dc405f5ccbbdfb.html
452,地方工作文件,上海市农业农村委员会关于做好2026年农机购置与应用补贴“优机优补”和农用(植保)无人驾驶航空器产品投档工作的通知,上海市农业农村委员会,沪农委〔2026〕195号,2026-07-13,现行有效,农业科技与农机 农业资金 农业管理 专项资金管理 化肥农药农膜柴油,库存-pkulaw全量,https://www.pkulaw.com/lar/2ba36aebd1be5824e89d947ef96acabfbdfb.html
453,地方工作文件,上海市农业农村委员会关于做好上海市农用无人驾驶航空器购置与应用补贴投档工作的通知,上海市农业农村委员会,沪农委〔2025〕5号,2025-01-10,现行有效,农业管理,库存-pkulaw全量,https://www.pkulaw.com/lar/c38e2e8f0915fe9ff997ba621d8bbc4fbdfb.html
454,地方工作文件,上海市农业农村委员会关于做好本市2024—2025年度农用无人驾驶航空器购置补贴工作的通知,上海市农业农村委员会,沪农委〔2024〕450号,2024-12-18,现行有效,农业管理,库存-pkulaw全量,https://www.pkulaw.com/lar/97ebbd197ffa6e1116b2100e1abaed85bdfb.html
455,地方规范性文件,上海市机电产品进出口办公室关于申请小型无人驾驶航空器自动进口许可有关问题的通知,上海市机电产品进出口办公室,,2015-07-01,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/lar/57ec769c8a8ec279b275f4002a99b684bdfb.html
456,地方工作文件,中共大连市委军民融合发展委员会办公室关于公布微型、轻型、小型无人驾驶航空器适飞空域范围的公告,中共大连市委员会,,2026-05-22,现行有效,航空运输 国防事务 铁路公路机场用地 互联网 科技综合规定与体改,库存-pkulaw全量,https://www.pkulaw.com/lar/a908f7bbe46e6bf7f85b808c04437e6bbdfb.html
457,部门规范性文件,中国民用航空局关于印发《持续完善民用无人驾驶航空器适航审定管理政策稳步推进项目审定实践工作方案》的通知,中国民用航空局,民航发〔2022〕24号,2022-04-14,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/chl/564827ca3c0f01c2bdfb.html
458,部门工作文件,中国民用航空局关于发布民用无人驾驶航空器飞行动态数据报送要求的公告,中国民用航空局,,2024-11-15,现行有效,交通运输综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/6d443005681707b1bdfb.html
459,部门规范性文件,中国民用航空局关于民用无人驾驶航空器系统网络式运行识别有关事项的公告,中国民用航空局,中国民用航空局公告2026年第5号,2026-03-04,现行有效,航空运输 机械工业管理 互联网 电子工业管理 科技情报档案保密,库存-pkulaw全量,https://www.pkulaw.com/chl/39aede7305dde221bdfb.html
460,部门工作文件,中国民用航空局关于民用无人驾驶航空器系统驾驶员资质管理有关问题的通知,中国民用航空局,民航发〔2015〕34号,2015-04-30,废止或失效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/chl/222021cb5b2977e8bdfb.html
461,部门工作文件,中国民用航空局关于民用无人驾驶航空器运营合格证有关事宜的通告,中国民用航空局,民航通告〔2023〕1号,2023-12-06,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/chl/389e6b2ace2e1e84bdfb.html
462,部门工作文件,中国民用航空局空管委办公室开展无人驾驶航空器专项整治情况暨加强管理工作的问卷调查,中国民用航空局,,2017-08-24,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/chl/1bf399f8441d42fbbdfb.html
463,部门工作文件,中型民用无人驾驶航空器系统适航标准及符合性指导材料(试行),中国民用航空局,民航适函〔2024〕52号,2024-07-23,现行有效,航空运输 行业标准管理 法规规章制定与发布 铁路公路机场用地,库存-pkulaw全量,https://www.pkulaw.com/chl/8e8a0e7440eaf2bfbdfb.html
464,地方工作文件,云南省公安厅关于举行《云南省民用无人驾驶航空器公共安全管理办法(草案)》立法听证会的公告,云南省公安厅,,2026-05-01,现行有效,交通安全管理,库存-pkulaw全量,https://www.pkulaw.com/lar/44c69bfa2da36b2d309a322800c767cbbdfb.html
465,地方工作文件,云南省农业农村厅、云南省财政厅关于印发《云南省农用植保无人驾驶航空器购置与应用补贴实施方案》的通知,云南省农业农村厅 云南省财政厅,云农机〔2025〕1号,2025-01-26,现行有效,农业科技与农机,库存-pkulaw全量,https://www.pkulaw.com/lar/74f6a3ab2a5df0fc930bdd95d347eff5bdfb.html
466,地方工作文件,云南省科技厅关于组织开展2022年度“双随机、一公开”执法检查工作的通知(云南警官学院无人驾驶航空器展览馆),云南省科学技术厅,,2022-08-30,现行有效,机关工作综合规定 营商环境优化,库存-pkulaw全量,https://www.pkulaw.com/lar/89032c30a46ed15e835db5db3ec582c2bdfb.html
467,部门规范性文件,亿航EH216―S型无人驾驶航空器系统专用条件,中国民用航空局,,2022-02-09,现行有效,航空运输,库存-pkulaw全量,https://www.pkulaw.com/chl/12ede82bb8d2e3c6bdfb.html
468,地方工作文件,关于印发《金湖县2021―2023年植保无人驾驶航空器购机补贴补充方案》的通知,金湖县人民政府,金农建〔2025〕39号,2025-07-21,现行有效,农业资金 专项资金管理 农业管理 化肥农药农膜柴油 农业多种经营,库存-pkulaw全量,https://www.pkulaw.com/lar/6f7a193ded3dea0363a407bbd7dc19fdbdfb.html
469,地方工作文件,内蒙古自治区交通运输厅关于公布内蒙古自治区微型、轻型、小型无人驾驶航空器适飞空域范围的公告,内蒙古自治区交通运输厅,,2026-05-18,现行有效,航空运输 铁路公路机场用地 机关工作综合规定 互联网 标准化综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/e40837776ba7304a8705a38de778a55cbdfb.html
470,部门工作文件,农业农村部农业机械化总站关于延期举办植保无人驾驶航空器及绿色植保装备技术培训班的通知,农业农村部,农机化总站(加)函〔2021〕52号,2021-10-29,现行有效,机关工作综合规定,库存-pkulaw全量,https://www.pkulaw.com/chl/69b1a6886f9cf1bcbdfb.html
471,地方工作文件,北京市人民政府关于公布无人驾驶航空器管制空域范围的通告,北京市人民政府,京政发〔2025〕20号,2025-08-03,现行有效,航空运输 铁路公路机场用地 无线电,库存-pkulaw全量,https://www.pkulaw.com/lar/2d1b9c9590e338f6416ebda8dab3ee7dbdfb.html
472,地方工作文件,北京市经济和信息化局关于印发《无人驾驶航空器核心部件名录(试行)》的通知,北京市经济和信息化局,,2026-03-27,现行有效,航空运输 国家产业政策 机械工业管理 互联网 科学研究与科技项目,库存-pkulaw全量,https://www.pkulaw.com/lar/e52089965bdad80b19840650fed556abbdfb.html
473,地方工作文件,北京海关公告2026年第2号——北京海关关于规范无人驾驶航空器申报事宜的公告,北京海关,北京海关公告2026年第2号,2026-04-01,现行有效,航空运输 进出境货物监管 进出境运输工具监管 互联网 进出口商品检验,库存-pkulaw全量,https://www.pkulaw.com/lar/2f180e9d939c4ba0d7c43a8e5048b16cbdfb.html
474,地方工作文件,南宁市工业和信息化局转发自治区工业和信息化厅关于推进民用无人驾驶航空器设置唯一产品识别码以及备案工作的通知,南宁市工业和信息化局,,2024-09-25,现行有效,机关工作综合规定,库存-pkulaw全量,https://www.pkulaw.com/lar/7ade7be368035ffeb494caae0498dc4ebdfb.html
475,地方工作文件,南平市人民政府关于加强2026年福建省足球联赛南平赛区赛事期间无人驾驶航空器飞行活动安全管理的通告,南平市人民政府,南政综〔2026〕36号,2026-04-30,现行有效,航空运输 体育综合规定 科技综合规定与体改 互联网 机械工业管理,库存-pkulaw全量,https://www.pkulaw.com/lar/807ab653c2cfcde4a76da435e01ac621bdfb.html
