序号,来源,类型,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
232,pkulaw,法规,地方工作文件,龙华区低空经济试验区2024年度建设方案,深圳市龙华区人民政府,深龙华府办函〔2024〕3号,,2024,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\龙华区低空经济试验区2024年度建设方案(FBMCLI.14.7805475).pdf,https://www.pkulaw.com/lar/97b062d935c5b54f673ff9060b3e359ebdfb.html,引证码FBMCLI.14.7805475｜有附件｜未知位阶/无条文:地方工作文件
233,pkulaw,法规,地方工作文件,上海市交通委员会关于2026世界人工智能大会暨人工智能全球治理高级别会议期间无人驾驶航空器临时管制空域范围的通告,上海市交通委员会,沪交空〔2026〕314号,2026-07-13,2026-07-13,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\上海市交通委员会关于2026世界人工智能大会暨人工智能全球治理高级别会议期间无人驾驶航空器临时管制空域范围的通告(FBMCLI.14.10109384).pdf,https://www.pkulaw.com/lar/201edafbd182b1530f78e261d63d4e5cbdfb.html,引证码FBMCLI.14.10109384｜未知位阶/无条文:地方工作文件
234,pkulaw,法规,地方工作文件,上海市人民政府关于公布微型轻型小型无人驾驶航空器适飞空域范围的通告,上海市人民政府,沪府发〔2025〕14号,2025-12-24,2025-12-24,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\上海市人民政府关于公布微型轻型小型无人驾驶航空器适飞空域范围的通告(FBMCLI.14.9642007).pdf,https://www.pkulaw.com/lar/dacbdcf218cf668098a504dc405f5ccbbdfb.html,引证码FBMCLI.14.9642007｜有附件｜未知位阶/无条文:地方工作文件
235,pkulaw,法规,地方工作文件,上海市农业农村委员会关于做好2026年农机购置与应用补贴“优机优补”和农用(植保)无人驾驶航空器产品投档工作的通知,上海市农业农村委员会,沪农委〔2026〕195号,2026-07-13,2026-07-13,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\上海市农业农村委员会关于做好2026年农机购置与应用补贴“优机优补”和农用(植保)无人驾驶航空器产品投档工作的通知(FBMCLI.14.10114409).pdf,https://www.pkulaw.com/lar/2ba36aebd1be5824e89d947ef96acabfbdfb.html,引证码FBMCLI.14.10114409｜有附件｜未知位阶/无条文:地方工作文件
236,pkulaw,法规,地方工作文件,上海市农业农村委员会关于做好上海市农用无人驾驶航空器购置与应用补贴投档工作的通知,上海市农业农村委员会,沪农委〔2025〕5号,2025-01-10,2025-01-10,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\上海市农业农村委员会关于做好上海市农用无人驾驶航空器购置与应用补贴投档工作的通知(FBMCLI.14.8460976).pdf,https://www.pkulaw.com/lar/c38e2e8f0915fe9ff997ba621d8bbc4fbdfb.html,引证码FBMCLI.14.8460976｜未知位阶/无条文:地方工作文件
237,pkulaw,法规,地方工作文件,上海市农业农村委员会关于做好本市2024—2025年度农用无人驾驶航空器购置补贴工作的通知,上海市农业农村委员会,沪农委〔2024〕450号,2024-12-18,2024-12-18,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\上海市农业农村委员会关于做好本市2024—2025年度农用无人驾驶航空器购置补贴工作的通知(FBMCLI.14.8563533).pdf,https://www.pkulaw.com/lar/97ebbd197ffa6e1116b2100e1abaed85bdfb.html,引证码FBMCLI.14.8563533｜未知位阶/无条文:地方工作文件
238,pkulaw,法规,地方规范性文件,上海市机电产品进出口办公室关于申请小型无人驾驶航空器自动进口许可有关问题的通知,上海市机电产品进出口办公室,,2015-07-15,2015-07-01,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\上海市机电产品进出口办公室关于申请小型无人驾驶航空器自动进口许可有关问题的通知(FBMCLI.12.1093967).pdf,https://www.pkulaw.com/lar/57ec769c8a8ec279b275f4002a99b684bdfb.html,引证码FBMCLI.12.1093967｜规范性文件但非结构化(通知/公告)
239,pkulaw,法规,地方工作文件,中共大连市委军民融合发展委员会办公室关于公布微型、轻型、小型无人驾驶航空器适飞空域范围的公告,中共大连市委员会,,2026-05-22,2026-05-22,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\中共大连市委军民融合发展委员会办公室关于公布微型、轻型、小型无人驾驶航空器适飞空域范围的公告(FBMCLI.14.9967812).pdf,https://www.pkulaw.com/lar/a908f7bbe46e6bf7f85b808c04437e6bbdfb.html,引证码FBMCLI.14.9967812｜未知位阶/无条文:地方工作文件
240,pkulaw,法规,部门规范性文件,中国民用航空局关于印发《持续完善民用无人驾驶航空器适航审定管理政策稳步推进项目审定实践工作方案》的通知,中国民用航空局,民航发〔2022〕24号,2022-04-14,2022-04-14,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\中国民用航空局关于印发《持续完善民用无人驾驶航空器适航审定管理政策稳步推进项目审定实践工作方案》的通知(FBMCLI.4.5302921).pdf,https://www.pkulaw.com/chl/564827ca3c0f01c2bdfb.html,引证码FBMCLI.4.5302921｜有附件｜规范性文件但非结构化(通知/公告)
241,pkulaw,法规,部门工作文件,中国民用航空局关于发布民用无人驾驶航空器飞行动态数据报送要求的公告,中国民用航空局,,2024-11-15,2024-11-15,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\中国民用航空局关于发布民用无人驾驶航空器飞行动态数据报送要求的公告(FBMCLI.4.5235096).pdf,https://www.pkulaw.com/chl/6d443005681707b1bdfb.html,引证码FBMCLI.4.5235096｜部门工作文件(通知/名单)
242,pkulaw,法规,部门工作文件,中国民用航空局关于民用无人驾驶航空器监管服务有关事宜的公告,中国民用航空局,,2023-12-31,2023-12-31,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\中国民用航空局关于民用无人驾驶航空器监管服务有关事宜的公告(FBMCLI.4.5185889).pdf,https://www.pkulaw.com/chl/af3ab459c01c956dbdfb.html,引证码FBMCLI.4.5185889｜有附件｜部门工作文件(通知/名单)
243,pkulaw,法规,部门规范性文件,中国民用航空局关于民用无人驾驶航空器系统网络式运行识别有关事项的公告,中国民用航空局,中国民用航空局公告2026年第5号,2026-03-04,2026-03-04,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\中国民用航空局关于民用无人驾驶航空器系统网络式运行识别有关事项的公告(FBMCLI.4.5339316).pdf,https://www.pkulaw.com/chl/39aede7305dde221bdfb.html,引证码FBMCLI.4.5339316｜有附件｜规范性文件但非结构化(通知/公告)
244,pkulaw,法规,部门工作文件,中国民用航空局关于民用无人驾驶航空器系统驾驶员资质管理有关问题的通知,中国民用航空局,民航发〔2015〕34号,2015-04-23,2015-04-30,废止或失效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\中国民用航空局关于民用无人驾驶航空器系统驾驶员资质管理有关问题的通知(FBMCLI.4.5167410).pdf,https://www.pkulaw.com/chl/222021cb5b2977e8bdfb.html,引证码FBMCLI.4.5167410｜部门工作文件(通知/名单)
245,pkulaw,法规,部门工作文件,中国民用航空局关于民用无人驾驶航空器运营合格证有关事宜的通告,中国民用航空局,民航通告〔2023〕1号,2023-12-06,2023-12-06,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\中国民用航空局关于民用无人驾驶航空器运营合格证有关事宜的通告(FBMCLI.4.5184027).pdf,https://www.pkulaw.com/chl/389e6b2ace2e1e84bdfb.html,引证码FBMCLI.4.5184027｜部门工作文件(通知/名单)
246,pkulaw,法规,部门工作文件,中国民用航空局空管委办公室开展无人驾驶航空器专项整治情况暨加强管理工作的问卷调查,中国民用航空局,,2017-08-24,2017-08-24,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\中国民用航空局空管委办公室开展无人驾驶航空器专项整治情况暨加强管理工作的问卷调查(FBMCLI.4.5306446).pdf,https://www.pkulaw.com/chl/1bf399f8441d42fbbdfb.html,引证码FBMCLI.4.5306446｜有附件｜部门工作文件(通知/名单)
247,pkulaw,法规,部门工作文件,中型民用无人驾驶航空器系统适航标准及符合性指导材料(试行),中国民用航空局,民航适函〔2024〕52号,2024-07-23,2024-07-23,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\中型民用无人驾驶航空器系统适航标准及符合性指导材料(试行)(FBMCLI.4.5306199).pdf,https://www.pkulaw.com/chl/8e8a0e7440eaf2bfbdfb.html,引证码FBMCLI.4.5306199｜有附件｜部门工作文件(通知/名单)
248,pkulaw,法规,地方工作文件,云南省公安厅关于举行《云南省民用无人驾驶航空器公共安全管理办法(草案)》立法听证会的公告,云南省公安厅,,2026-05-01,2026-05-01,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\云南省公安厅关于举行《云南省民用无人驾驶航空器公共安全管理办法(草案)》立法听证会的公告(FBMCLI.14.9950162).pdf,https://www.pkulaw.com/lar/44c69bfa2da36b2d309a322800c767cbbdfb.html,引证码FBMCLI.14.9950162｜有附件｜未知位阶/无条文:地方工作文件
249,pkulaw,法规,地方工作文件,云南省公安厅关于举行《云南省民用无人驾驶航空器公共安全管理办法(草案)》立法听证会的公告,云南省公安厅,云南省公安厅公告2026年第2号,2026-05-29,2026-05-29,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\云南省公安厅关于举行《云南省民用无人驾驶航空器公共安全管理办法(草案)》立法听证会的公告(FBMCLI.14.9981642).pdf,https://www.pkulaw.com/lar/9c1b98057cdd68f2bf37419a0a0a7974bdfb.html,引证码FBMCLI.14.9981642｜未知位阶/无条文:地方工作文件
250,pkulaw,法规,地方工作文件,云南省农业农村厅、云南省财政厅关于印发《云南省农用植保无人驾驶航空器购置与应用补贴实施方案》的通知,云南省农业农村厅 云南省财政厅,云农机〔2025〕1号,2025-01-26,2025-01-26,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\云南省农业农村厅、云南省财政厅关于印发《云南省农用植保无人驾驶航空器购置与应用补贴实施方案》的通知(FBMCLI.14.8477004).pdf,https://www.pkulaw.com/lar/74f6a3ab2a5df0fc930bdd95d347eff5bdfb.html,引证码FBMCLI.14.8477004｜有附件｜未知位阶/无条文:地方工作文件
251,pkulaw,法规,地方工作文件,云南省科技厅关于组织开展2022年度“双随机、一公开”执法检查工作的通知(云南警官学院无人驾驶航空器展览馆),云南省科学技术厅,,2022-08-30,2022-08-30,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\云南省科技厅关于组织开展2022年度“双随机、一公开”执法检查工作的通知(云南警官学院无人驾驶航空器展览馆)(FBMCLI.14.5534826).pdf,https://www.pkulaw.com/lar/89032c30a46ed15e835db5db3ec582c2bdfb.html,引证码FBMCLI.14.5534826｜未知位阶/无条文:地方工作文件
252,pkulaw,法规,部门规范性文件,亿航EH216―S型无人驾驶航空器系统专用条件,中国民用航空局,,2022-02-09,2022-02-09,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\亿航EH216―S型无人驾驶航空器系统专用条件(FBMCLI.4.5115102).pdf,https://www.pkulaw.com/chl/12ede82bb8d2e3c6bdfb.html,引证码FBMCLI.4.5115102｜有附件｜规范性文件但非结构化(通知/公告)
253,pkulaw,法规,地方工作文件,关于印发《金湖县2021―2023年植保无人驾驶航空器购机补贴补充方案》的通知,金湖县人民政府,金农建〔2025〕39号,2025-07-21,2025-07-21,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\关于印发《金湖县2021―2023年植保无人驾驶航空器购机补贴补充方案》的通知(FBMCLI.14.9049553).pdf,https://www.pkulaw.com/lar/6f7a193ded3dea0363a407bbd7dc19fdbdfb.html,引证码FBMCLI.14.9049553｜有附件｜未知位阶/无条文:地方工作文件
254,pkulaw,法规,地方工作文件,内蒙古自治区交通运输厅关于公布内蒙古自治区微型、轻型、小型无人驾驶航空器适飞空域范围的公告,内蒙古自治区交通运输厅,,2026-05-18,2026-05-18,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\内蒙古自治区交通运输厅关于公布内蒙古自治区微型、轻型、小型无人驾驶航空器适飞空域范围的公告(FBMCLI.14.9966040).pdf,https://www.pkulaw.com/lar/e40837776ba7304a8705a38de778a55cbdfb.html,引证码FBMCLI.14.9966040｜有附件｜未知位阶/无条文:地方工作文件
255,pkulaw,法规,部门工作文件,农业农村部农业机械化总站关于延期举办植保无人驾驶航空器及绿色植保装备技术培训班的通知,农业农村部,农机化总站(加)函〔2021〕52号,2021-10-29,2021-10-29,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\农业农村部农业机械化总站关于延期举办植保无人驾驶航空器及绿色植保装备技术培训班的通知(FBMCLI.4.5116990).pdf,https://www.pkulaw.com/chl/69b1a6886f9cf1bcbdfb.html,引证码FBMCLI.4.5116990｜行政事务性通知(非规范文本)
256,pkulaw,法规,地方工作文件,北京市人民政府关于公布无人驾驶航空器管制空域范围的通告,北京市人民政府,京政发〔2025〕20号,2025-08-03,2025-08-03,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\北京市人民政府关于公布无人驾驶航空器管制空域范围的通告(FBMCLI.14.9061005).pdf,https://www.pkulaw.com/lar/2d1b9c9590e338f6416ebda8dab3ee7dbdfb.html,引证码FBMCLI.14.9061005｜未知位阶/无条文:地方工作文件
257,pkulaw,法规,地方工作文件,北京市经济和信息化局关于印发《无人驾驶航空器核心部件名录(试行)》的通知,北京市经济和信息化局,,2026-03-27,2026-03-27,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\北京市经济和信息化局关于印发《无人驾驶航空器核心部件名录(试行)》的通知(FBMCLI.14.9787537).pdf,https://www.pkulaw.com/lar/e52089965bdad80b19840650fed556abbdfb.html,引证码FBMCLI.14.9787537｜有附件｜未知位阶/无条文:地方工作文件
258,pkulaw,法规,地方工作文件,北京海关公告2026年第2号——北京海关关于规范无人驾驶航空器申报事宜的公告,北京海关,北京海关公告2026年第2号,2026-04-01,2026-04-01,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\北京海关公告2026年第2号——北京海关关于规范无人驾驶航空器申报事宜的公告(FBMCLI.14.9819588).pdf,https://www.pkulaw.com/lar/2f180e9d939c4ba0d7c43a8e5048b16cbdfb.html,引证码FBMCLI.14.9819588｜未知位阶/无条文:地方工作文件
259,pkulaw,法规,地方工作文件,南宁市工业和信息化局转发自治区工业和信息化厅关于推进民用无人驾驶航空器设置唯一产品识别码以及备案工作的通知,南宁市工业和信息化局,,2024-09-25,2024-09-25,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\南宁市工业和信息化局转发自治区工业和信息化厅关于推进民用无人驾驶航空器设置唯一产品识别码以及备案工作的通知(FBMCLI.14.7827939).pdf,https://www.pkulaw.com/lar/7ade7be368035ffeb494caae0498dc4ebdfb.html,引证码FBMCLI.14.7827939｜有附件｜未知位阶/无条文:地方工作文件
260,pkulaw,法规,地方工作文件,南平市人民政府关于加强2026年福建省足球联赛南平赛区赛事期间无人驾驶航空器飞行活动安全管理的通告,南平市人民政府,南政综〔2026〕36号,2026-04-30,2026-04-30,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\南平市人民政府关于加强2026年福建省足球联赛南平赛区赛事期间无人驾驶航空器飞行活动安全管理的通告(FBMCLI.14.9954264).pdf,https://www.pkulaw.com/lar/807ab653c2cfcde4a76da435e01ac621bdfb.html,引证码FBMCLI.14.9954264｜未知位阶/无条文:地方工作文件
261,pkulaw,法规,地方工作文件,厦门市公安局、中国民用航空厦门安全监督管理局、厦门市气象局关于进一步加强无人机等民用无人驾驶航空器安全管理的通告,厦门市公安局 中国民用航空厦门安全监督管理局 厦门市气象局,厦公综〔2022〕228号,2022-09-20,2022-09-20,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\厦门市公安局、中国民用航空厦门安全监督管理局、厦门市气象局关于进一步加强无人机等民用无人驾驶航空器安全管理的通告(FBMCLI.14.5577839).pdf,https://www.pkulaw.com/lar/b6cd7a119eb07ba2f95e987cfd372fd3bdfb.html,引证码FBMCLI.14.5577839｜未知位阶/无条文:地方工作文件
262,pkulaw,法规,地方规范性文件,合肥市经济和信息化委员会关于开展合肥市无人驾驶航空器生产制造企业及产品有关情况调查摸底工作的通知,合肥市经济和信息化委员会,合经信装备〔2017〕328号,2017-08-11,2017-08-11,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\合肥市经济和信息化委员会关于开展合肥市无人驾驶航空器生产制造企业及产品有关情况调查摸底工作的通知(FBMCLI.12.1807944).pdf,https://www.pkulaw.com/lar/481670efc6c58eb652ad027ab4b09b26bdfb.html,引证码FBMCLI.12.1807944｜有附件｜规范性文件但非结构化(通知/公告)
263,pkulaw,法规,地方工作文件,嘉兴市人民政府关于对无人驾驶航空器及空飘物实施临时性管理措施的通告,嘉兴市人民政府,嘉政发〔2024〕18号,2024-09-13,2024-09-13,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\嘉兴市人民政府关于对无人驾驶航空器及空飘物实施临时性管理措施的通告(FBMCLI.14.7836581).pdf,https://www.pkulaw.com/lar/4083ba6adb9eaa3b4eca61b3d7b7eaedbdfb.html,引证码FBMCLI.14.7836581｜未知位阶/无条文:地方工作文件
264,pkulaw,法规,地方工作文件,嘉兴市人民政府关于对无人驾驶航空器和空飘物采取临时性管理措施的通告(2022),嘉兴市人民政府,嘉政发〔2022〕17号,2022-09-09,2022-09-09,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\嘉兴市人民政府关于对无人驾驶航空器和空飘物采取临时性管理措施的通告(2022)(FBMCLI.14.7928326).pdf,https://www.pkulaw.com/lar/b5221572829424efc8a7dabf16e19764bdfb.html,引证码FBMCLI.14.7928326｜未知位阶/无条文:地方工作文件
265,pkulaw,法规,地方工作文件,四川省2024年农机购置与应用补贴植保无人驾驶航空器投档产品现场演示评价结果公告,四川省农业机械鉴定站,,2024-09-27,2024-09-27,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\四川省2024年农机购置与应用补贴植保无人驾驶航空器投档产品现场演示评价结果公告(FBMCLI.14.7827139).pdf,https://www.pkulaw.com/lar/33b7c737068b7f79b1cd8c8254cd3c45bdfb.html,引证码FBMCLI.14.7827139｜有附件｜未知位阶/无条文:地方工作文件
266,pkulaw,法规,地方工作文件,四川省农业农村厅关于实施植保无人驾驶航空器农机购置与应用补贴的通知,四川省农业农村厅,川农发〔2025〕7 号,2025-03-10,2025-03-10,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\四川省农业农村厅关于实施植保无人驾驶航空器农机购置与应用补贴的通知(FBMCLI.14.8619845).pdf,https://www.pkulaw.com/lar/8b3e9a6ccf64430e9204ace2443f4577bdfb.html,引证码FBMCLI.14.8619845｜有附件｜未知位阶/无条文:地方工作文件
267,pkulaw,法规,地方工作文件,四川省农业机械鉴定站关于开展四川省2022年农机购置与应用补贴植保无人驾驶航空器产品现场演示评价的通知,四川省农业机械鉴定站,,2022-12-13,2022-12-13,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\四川省农业机械鉴定站关于开展四川省2022年农机购置与应用补贴植保无人驾驶航空器产品现场演示评价的通知(FBMCLI.14.5684354).pdf,https://www.pkulaw.com/lar/2a91b86e91204c5a8250ff59b1032e63bdfb.html,引证码FBMCLI.14.5684354｜有附件｜未知位阶/无条文:地方工作文件
268,pkulaw,法规,地方工作文件,四川省农业机械鉴定站关于开展四川省2022年植保无人驾驶航空器产品自主投档有关事项的通知,四川省农业机械鉴定站,,2022-10-23,2022-10-23,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\四川省农业机械鉴定站关于开展四川省2022年植保无人驾驶航空器产品自主投档有关事项的通知(FBMCLI.14.5620470).pdf,https://www.pkulaw.com/lar/39dec2039dcdf51a02f8adcf0ff3c65cbdfb.html,引证码FBMCLI.14.5620470｜未知位阶/无条文:地方工作文件
269,pkulaw,法规,地方工作文件,四川省农业机械鉴定站关于开展四川省2024年农机购置与应用补贴植保无人驾驶航空器产品现场演示评价的通知,四川省农业机械鉴定站,,2024-09-12,2024-09-12,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\四川省农业机械鉴定站关于开展四川省2024年农机购置与应用补贴植保无人驾驶航空器产品现场演示评价的通知(FBMCLI.14.7796160).pdf,https://www.pkulaw.com/lar/8c2ceb522b0cf3589ca84000403cc5ebbdfb.html,引证码FBMCLI.14.7796160｜有附件｜未知位阶/无条文:地方工作文件
270,pkulaw,法规,部门规范性文件,国家体育总局办公厅、中国教科文卫体工会全国委员会、中华全国体育总会秘书处关于印发2017年全国体育行业职业技能大赛无人驾...,国家体育总局 中国教科文卫体工会全国委员会 中华全国体育总会,体群字〔2017〕172号,2017-09-18,2017-09-18,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\国家体育总局办公厅、中国教科文卫体工会全国委员会、中华全国体育总会秘书处关于印发2017年全国体育行业职业技能大赛无人驾...(FBMCLI.4.302025).pdf,https://www.pkulaw.com/chl/241ecf8a55c0c5a0bdfb.html,引证码FBMCLI.4.302025｜有附件｜规范性文件但非结构化(通知/公告)
271,pkulaw,法规,部门规范性文件,国家机电产品进出口办公室关于小型无人驾驶航空器自动进口许可签发有关问题的通知,国家机电产品进出口办公室,机电办机进〔2015〕47号,2015-07-14,2015-07-14,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\国家机电产品进出口办公室关于小型无人驾驶航空器自动进口许可签发有关问题的通知(FBMCLI.4.251588).pdf,https://www.pkulaw.com/chl/d7afcaacdc6271d3bdfb.html,引证码FBMCLI.4.251588｜规范性文件但非结构化(通知/公告)
272,pkulaw,法规,部门工作文件,国家标准化管理委员会、工业和信息化部、自然资源部、农业农村部、国家能源局、中国民用航空局关于印发《无人驾驶航空器系统...,国家标准化管理委员会 工业和信息化部 自然资源部 农业农村部 国家能源局 中国民,国标委联〔2021〕24号,2021-09-13,2021-09-13,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\国家标准化管理委员会、工业和信息化部、自然资源部、农业农村部、国家能源局、中国民用航空局关于印发《无人驾驶航空器系统...(FBMCLI.4.5077860).pdf,https://www.pkulaw.com/chl/f57bd51515c9b3aabdfb.html,引证码FBMCLI.4.5077860｜有附件｜部门工作文件(通知/名单)
273,pkulaw,法规,部门工作文件,国家标准化管理委员会关于提前实施《民用无人驾驶航空器系统安全要求》国家标准主要条款的通知,国家标准化管理委员会,,2023-11-30,2023-11-30,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\国家标准化管理委员会关于提前实施《民用无人驾驶航空器系统安全要求》国家标准主要条款的通知(FBMCLI.4.5183652).pdf,https://www.pkulaw.com/chl/797732a10bcdc4f8bdfb.html,引证码FBMCLI.4.5183652｜有附件｜部门工作文件(通知/名单)
274,pkulaw,法规,部门工作文件,国家标准委办公室等关于印发《无人驾驶航空器系统标准体系建设指南(2017―2018年版)》的通知,国家标准化管理委员会 科学技术部 工业和信息化部 公安部 农业部(已撤销) 国家体,,2017-05-22,2017-05-22,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\国家标准委办公室等关于印发《无人驾驶航空器系统标准体系建设指南(2017―2018年版)》的通知(FBMCLI.4.296876).pdf,https://www.pkulaw.com/chl/14480da053deb777bdfb.html,引证码FBMCLI.4.296876｜有附件｜部门工作文件(通知/名单)
275,pkulaw,法规,部门工作文件,城市场景物流电动多旋翼无人驾驶航空器(轻小型)系统技术要求,中国民用航空局,,2022-03-07,2022-04-01,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\城市场景物流电动多旋翼无人驾驶航空器(轻小型)系统技术要求(FBMCLI.4.5304581).pdf,https://www.pkulaw.com/chl/fe6ae660d5083075bdfb.html,引证码FBMCLI.4.5304581｜部门工作文件(通知/名单)
276,pkulaw,法规,部门工作文件,城市场景轻小型无人驾驶航空器物流航线划设规范,中国民用航空局,,2022-07-29,2022-08-01,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\城市场景轻小型无人驾驶航空器物流航线划设规范(FBMCLI.4.5305871).pdf,https://www.pkulaw.com/chl/fb694872e5a127e6bdfb.html,引证码FBMCLI.4.5305871｜部门工作文件(通知/名单)
277,pkulaw,法规,部门工作文件,基于区块链的民用无人驾驶航空器飞行数据存证技术要求,中国民用航空局,,2024-01-10,2024-02-01,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\基于区块链的民用无人驾驶航空器飞行数据存证技术要求(FBMCLI.4.5305504).pdf,https://www.pkulaw.com/chl/62ba6d8f504d7c92bdfb.html,引证码FBMCLI.4.5305504｜部门工作文件(通知/名单)
278,pkulaw,法规,部门工作文件,大型民用无人驾驶航空器系统操控员训练要求,中国民用航空局,,2026-04-24,2026-05-01,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\大型民用无人驾驶航空器系统操控员训练要求(FBMCLI.4.5344060).pdf,https://www.pkulaw.com/chl/78e4c411d2806de9bdfb.html,引证码FBMCLI.4.5344060｜有附件｜部门工作文件(通知/名单)
279,pkulaw,法规,地方工作文件,大理白族自治州人民政府关于公布大理州无人驾驶航空器适飞空域范围的通告,大理白族自治州人民政府,大政发〔2026〕2号,2026-02-09,2026-02-09,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\大理白族自治州人民政府关于公布大理州无人驾驶航空器适飞空域范围的通告(FBMCLI.14.9984107).pdf,https://www.pkulaw.com/lar/5df43a75bd15a0bdaf6d9c7d3c23a480bdfb.html,引证码FBMCLI.14.9984107｜有附件｜未知位阶/无条文:地方工作文件
280,pkulaw,法规,地方工作文件,天津市农业农村委、天津市财政局关于印发《天津市农用无人驾驶航空器购置与应用补贴工作方案》的通知,天津市农业农村委员会 天津市财政局,津农委计财〔2025〕7号,2025-02-12,2025-02-12,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\天津市农业农村委、天津市财政局关于印发《天津市农用无人驾驶航空器购置与应用补贴工作方案》的通知(FBMCLI.14.8483324).pdf,https://www.pkulaw.com/lar/ce386b4a6b2a0e7db8473f1a5cec2d1ebdfb.html,引证码FBMCLI.14.8483324｜有附件｜未知位阶/无条文:地方工作文件
281,pkulaw,法规,地方工作文件,宁夏回族自治区交通运输厅关于公布微型、轻型、小型无人驾驶航空器适飞空域的通告,宁夏回族自治区交通运输厅,,,2026,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\宁夏回族自治区交通运输厅关于公布微型、轻型、小型无人驾驶航空器适飞空域的通告(FBMCLI.14.9956449).pdf,https://www.pkulaw.com/lar/47b398aa0a2efe538bf270d00a7d1ff5bdfb.html,引证码FBMCLI.14.9956449｜有附件｜未知位阶/无条文:地方工作文件
282,pkulaw,法规,地方工作文件,宁夏回族自治区自然资源厅办公室关于举办《无人驾驶航空器飞行管理暂行条例》专题讲座的通知,宁夏回族自治区自然资源厅,宁自然资办发〔2023〕63号,2023-10-16,2023-10-16,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\宁夏回族自治区自然资源厅办公室关于举办《无人驾驶航空器飞行管理暂行条例》专题讲座的通知(FBMCLI.14.7222815).pdf,https://www.pkulaw.com/lar/cd6bde3e95241089b03f363ea6ea120bbdfb.html,引证码FBMCLI.14.7222815｜有附件｜未知位阶/无条文:地方工作文件
