序号,来源,类型,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
166,pkulaw,法规,部门规范性文件,交通运输部办公厅关于印发《低空无人机应用公路桥梁巡检技术指南(试行)》的通知,交通运输部,交办公路〔2026〕8号,2026-02-06,2026-02-06,现行有效,,否,pkulaw\raw_pdf\北大法宝中央法规批量下载2026072914510079\交通运输部办公厅关于印发《低空无人机应用公路桥梁巡检技术指南(试行)》的通知(FBMCLI.4.5338964).pdf,https://www.pkulaw.com/chl/cc3280f98004b546bdfb.html,引证码FBMCLI.4.5338964｜有附件｜规范性文件+结构化
167,pkulaw,法规,部门规范性文件,不可靠实体清单工作机制公告2025年第10号——关于将反无人机技术公司等外国实体列入不可靠实体清单的公告,商务部,不可靠实体清单工作机制公告2025年第10号,2025-10-09,2025-10-09,现行有效,,否,pkulaw\raw_pdf\北大法宝中央法规批量下载2026072914510079\不可靠实体清单工作机制公告2025年第10号——关于将反无人机技术公司等外国实体列入不可靠实体清单的公告(FBMCLI.4.5310462).pdf,https://www.pkulaw.com/chl/02bc15d0774b161bbdfb.html,引证码FBMCLI.4.5310462｜规范性文件+结构化
168,pkulaw,法规,部门规范性文件,商务部、海关总署、中央军委装备发展部公告2024年第31号――关于优化调整无人机出口管制措施的公告,商务部 海关总署 中央军委装备发展部,商务部、海关总署、中央军委装备发展部公告2024年第31号,2024-07-31,2024-09-01,废止或失效,,否,pkulaw\raw_pdf\北大法宝中央法规批量下载2026072914510079\商务部、海关总署、中央军委装备发展部公告2024年第31号――关于优化调整无人机出口管制措施的公告(FBMCLI.4.5228390).pdf,https://www.pkulaw.com/chl/714df89904610dfbbdfb.html,引证码FBMCLI.4.5228390｜规范性文件+结构化
169,pkulaw,法规,,深圳市民用微轻型无人机管理暂行办法,深圳市人民政府,深圳市人民政府令第316号,2019-01-29,2019-03-01,现行有效,,否,pkulaw\raw_pdf\北大法宝地方法规规章\深圳市民用微轻型无人机管理暂行办法(FBMCLI.11.1501647).pdf,https://www.pkulaw.com/lar/aea4168ef1a4d647f8024998f81d63d9bdfb.html,引证码FBMCLI.11.1501647｜未知位阶但结构化
170,pkulaw,法规,地方规范性文件,钦州市人民政府办公室关于印发《钦州市低空政务智能无人机应用管理暂行办法》的通知,钦州市人民政府,钦政办〔2026〕14号,2026-06-18,2026-06-18,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\钦州市人民政府办公室关于印发《钦州市低空政务智能无人机应用管理暂行办法》的通知(FBMCLI.12.10125853).pdf,https://www.pkulaw.com/lar/e4d8e654b0e4721f38c018c34b1b9114bdfb.html,引证码FBMCLI.12.10125853｜规范性文件+结构化
171,pkulaw,法规,地方规范性文件,沧州市人民政府关于加强对无人机等“低慢小”航空器和空飘物管控的通告,沧州市人民政府,沧政告〔2026〕1号,2026-02-28,2026-02-28,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\沧州市人民政府关于加强对无人机等“低慢小”航空器和空飘物管控的通告(FBMCLI.12.9680161).pdf,https://www.pkulaw.com/lar/58aad172b19caa23a44f108138ece147bdfb.html,引证码FBMCLI.12.9680161｜规范性文件+结构化
172,pkulaw,法规,地方规范性文件,武汉市公安局关于印发《武汉市公安局无人机集群飞行表演活动安全监管工作规范》的通知,武汉市公安局,武公规〔2026〕1号,2026-01-29,2026-03-01,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\武汉市公安局关于印发《武汉市公安局无人机集群飞行表演活动安全监管工作规范》的通知(FBMCLI.12.10104268).pdf,https://www.pkulaw.com/lar/11a18afb6f08a054a31cb2b568a97f23bdfb.html,引证码FBMCLI.12.10104268｜规范性文件+结构化
173,pkulaw,法规,地方规范性文件,南京市交通运输局、南京市公安局、南京市发展和改革委员会等部门关于印发《南京市民用无人机低空飞行安全管理暂行办法》的通知,南京市交通运输局 南京市公安局 南京市发展和改革委员会 南京市工业和信息化局 南京市规划,宁交规范〔2025〕3号,2025-12-29,2026-02-01,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\南京市交通运输局、南京市公安局、南京市发展和改革委员会等部门关于印发《南京市民用无人机低空飞行安全管理暂行办法》的通知(FBMCLI.12.9604862).pdf,https://www.pkulaw.com/lar/7e2d082653f77f6a746b2ac8ae4a26fabdfb.html,引证码FBMCLI.12.9604862｜规范性文件+结构化
174,pkulaw,法规,地方规范性文件,广东省政务服务和数据管理局关于印发《广东省政务领域无人机应用管理办法(试行)》的通知,广东省政务服务数据管理局,,2025-11-13,2025-11-13,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\广东省政务服务和数据管理局关于印发《广东省政务领域无人机应用管理办法(试行)》的通知(FBMCLI.12.9517750).pdf,https://www.pkulaw.com/lar/7c80c5c55ecbc24ed1981213094ff931bdfb.html,引证码FBMCLI.12.9517750｜有附件｜规范性文件+结构化
175,pkulaw,法规,地方规范性文件,溧阳市政府办公室关于印发《优化全市政务无人机管理的实施意见(暂行)》的通知,溧阳市人民政府,溧政办发〔2025〕15号,2025-04-23,2025-04-23,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\溧阳市政府办公室关于印发《优化全市政务无人机管理的实施意见(暂行)》的通知(FBMCLI.12.8739011).pdf,https://www.pkulaw.com/lar/b59dcdf38597c2a590afaeeaf57c30d7bdfb.html,引证码FBMCLI.12.8739011｜规范性文件+结构化
176,pkulaw,法规,地方规范性文件,成都市经济和信息化局、成都市财政局关于印发《成都市促进工业无人机产业高质量发展的专项政策实施细则》的通知,成都市经济和信息化局 成都市财政局,成经信办〔2024〕11号,2024-04-28,2024-04-28,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\成都市经济和信息化局、成都市财政局关于印发《成都市促进工业无人机产业高质量发展的专项政策实施细则》的通知(FBMCLI.12.7467783).pdf,https://www.pkulaw.com/lar/95d71f3ba4c9ad06c13a1b15a84124f5bdfb.html,引证码FBMCLI.12.7467783｜规范性文件+结构化
177,pkulaw,法规,地方规范性文件,山东省农业农村厅关于印发《规范植保无人机飞防作业提高农作物病虫害防治质量指导意见》的通知,山东省农业农村厅,鲁农技字〔2024〕12号,2024-04-18,2024-04-18,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\山东省农业农村厅关于印发《规范植保无人机飞防作业提高农作物病虫害防治质量指导意见》的通知(FBMCLI.12.7459626).pdf,https://www.pkulaw.com/lar/db908c79f1279c75066668b84ff7f8b3bdfb.html,引证码FBMCLI.12.7459626｜规范性文件+结构化
178,pkulaw,法规,地方规范性文件,金东区水稻病虫草害无人机防控作业补助实施细则,金华市金东区人民政府,,,2023,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\金东区水稻病虫草害无人机防控作业补助实施细则(FBMCLI.12.8259695).pdf,https://www.pkulaw.com/lar/c3259ddc40d1ecff2a6ac5674fa7cb21bdfb.html,引证码FBMCLI.12.8259695｜有附件｜规范性文件+结构化
179,pkulaw,法规,地方规范性文件,东营市人民政府关于促进无人机产业发展的意见,东营市人民政府,东政发〔2020〕10号,2020-07-20,2020-07-20,废止或失效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\东营市人民政府关于促进无人机产业发展的意见(FBMCLI.12.8498765).pdf,https://www.pkulaw.com/lar/6c356de63db256ac5f45da8271ba9ef4bdfb.html,引证码FBMCLI.12.8498765｜规范性文件+结构化
180,pkulaw,法规,地方规范性文件,海南省交通运输厅关于印发《海南省民用无人机管理办法(暂行)》的通知,海南省交通运输厅,,2020-04-01,2020-05-01,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\海南省交通运输厅关于印发《海南省民用无人机管理办法(暂行)》的通知(FBMCLI.12.1597899).pdf,https://www.pkulaw.com/lar/b44650ee2fd93181edb270cce0d0c20ebdfb.html,引证码FBMCLI.12.1597899｜规范性文件+结构化
181,pkulaw,法规,地方规范性文件,海南省地质局办公室关于印发《海南省地质局无人机管理规定(试行)》的通知,海南省地质局,琼地办〔2020〕17号,2020-03-19,2020-03-19,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\海南省地质局办公室关于印发《海南省地质局无人机管理规定(试行)》的通知(FBMCLI.12.5503999).pdf,https://www.pkulaw.com/lar/c33d55a9503bcb3e8a0b4e386ad75d83bdfb.html,引证码FBMCLI.12.5503999｜规范性文件+结构化
182,pkulaw,法规,地方规范性文件,溧阳市人民政府关于印发《溧阳市农机购置补贴引导植保无人机规范应用试点实施方案》的通知,溧阳市人民政府,,,2020,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\溧阳市人民政府关于印发《溧阳市农机购置补贴引导植保无人机规范应用试点实施方案》的通知(FBMCLI.12.7951543).pdf,https://www.pkulaw.com/lar/5425ebbbb4ce567f27d7a0603105cf5abdfb.html,引证码FBMCLI.12.7951543｜有附件｜规范性文件+结构化
183,pkulaw,法规,地方规范性文件,江苏省工业和信息化厅印发关于促进和规范江苏省民用无人机制造业发展意见的通知,江苏省工业和信息化厅,苏工信装备〔2018〕74号,2018-11-27,2018-11-27,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\江苏省工业和信息化厅印发关于促进和规范江苏省民用无人机制造业发展意见的通知(FBMCLI.12.4743682).pdf,https://www.pkulaw.com/lar/6b24417046867a3bc054d914b588e1f2bdfb.html,引证码FBMCLI.12.4743682｜有附件｜规范性文件+结构化
184,pkulaw,法规,地方规范性文件,宝鸡市人民政府办公室关于印发《宝鸡市民用无人机管理暂行规定》的通知,宝鸡市人民政府,宝规[2017]006-市政办001、宝政办发[2017]68号,2017-09-06,2017-10-01,废止或失效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\宝鸡市人民政府办公室关于印发《宝鸡市民用无人机管理暂行规定》的通知(FBMCLI.12.3940782).pdf,https://www.pkulaw.com/lar/449e9e179bb070ae0bee8c1d250d4367bdfb.html,引证码FBMCLI.12.3940782｜规范性文件+结构化
185,pkulaw,法规,地方规范性文件,中卫市人民政府关于规范中卫沙坡头机场周边通用航空及无人机飞行管理的通告,中卫市人民政府,卫政发〔2016〕119号,2016-10-20,2016-10-20,现行有效,,否,pkulaw\raw_pdf\北大法宝地方规范性文件\中卫市人民政府关于规范中卫沙坡头机场周边通用航空及无人机飞行管理的通告(FBMCLI.12.1230319).pdf,https://www.pkulaw.com/lar/7beba2c611851825634ac908629160f7bdfb.html,引证码FBMCLI.12.1230319｜规范性文件+结构化
186,pkulaw,法规,部门规范性文件,工业和信息化部关于促进和规范民用无人机制造业发展的指导意见,工业和信息化部,工信部装〔2017〕310号,2017-12-06,2017-12-06,现行有效,,否,pkulaw\raw_pdf\北大法宝无人机中央法规51-62\工业和信息化部关于促进和规范民用无人机制造业发展的指导意见(FBMCLI.4.307201).pdf,https://www.pkulaw.com/chl/eac2cb818a42a014bdfb.html,引证码FBMCLI.4.307201｜规范性文件+结构化
187,pkulaw,法规,部门规范性文件,民用无人机驾驶员管理规定(2016修订),中国民用航空局,,2016-07-11,2016-07-11,废止或失效,,否,pkulaw\raw_pdf\北大法宝无人机中央法规51-62\民用无人机驾驶员管理规定(2016修订)(FBMCLI.4.5112467).pdf,https://www.pkulaw.com/chl/506a6b9f3b87569dbdfb.html,引证码FBMCLI.4.5112467｜规范性文件+结构化
188,pkulaw,法规,行业规定,中国消防协会关于发布《消防救援无人机操控员》等4部团体标准的公告,中国消防协会,中消协〔2025〕54号,2025-08-26,2025-12-01,现行有效,,否,pkulaw\raw_pdf\北大法宝无人机中央法规63-16（行业规定）\中国消防协会关于发布《消防救援无人机操控员》等4部团体标准的公告(FBMCLI.6.5307127).pdf,https://www.pkulaw.com/chl/03e08d552b2c897abdfb.html,引证码FBMCLI.6.5307127｜规范性文件+结构化
189,pkulaw,法规,行业规定,中国林学会关于发布《森林草原防火多旋翼无人机喷洒炭化防火剂作业技术规范》等3项团体标准的公告,中国林学会,,2025-01-21,2025-01-21,现行有效,,否,pkulaw\raw_pdf\北大法宝无人机中央法规63-16（行业规定）\中国林学会关于发布《森林草原防火多旋翼无人机喷洒炭化防火剂作业技术规范》等3项团体标准的公告(FBMCLI.6.5289997).pdf,https://www.pkulaw.com/chl/874e7fa44472004fbdfb.html,引证码FBMCLI.6.5289997｜有附件｜规范性文件+结构化
190,pkulaw,法规,行业规定,中国林学会关于发布团体标准《无人机激光雷达森林地上碳储量估测技术规范》的公告,中国林学会,,,2025,现行有效,,否,pkulaw\raw_pdf\北大法宝无人机中央法规63-16（行业规定）\中国林学会关于发布团体标准《无人机激光雷达森林地上碳储量估测技术规范》的公告(FBMCLI.6.5300707).pdf,https://www.pkulaw.com/chl/a14c5ad3c2f14d37bdfb.html,引证码FBMCLI.6.5300707｜有附件｜规范性文件+结构化
191,pkulaw,法规,行业规定,中国林学会关于发布《空投式精确制导森林灭火弹通用技术规范》和《森林草原消防无人机巡护作业技术规程》2项团体标准的公告,中国林学会,,,2023,现行有效,,否,pkulaw\raw_pdf\北大法宝无人机中央法规63-16（行业规定）\中国林学会关于发布《空投式精确制导森林灭火弹通用技术规范》和《森林草原消防无人机巡护作业技术规程》2项团体标准的公告(FBMCLI.6.5177754).pdf,https://www.pkulaw.com/chl/5dfd77739b47ef01bdfb.html,引证码FBMCLI.6.5177754｜有附件｜规范性文件+结构化
192,pkulaw,法规,部门工作文件,商务部、海关总署、国家国防科工局、中央军委装备发展部关于对部分无人机实施临时出口管制的公告,商务部 海关总署 国家国防科技工业局 中央军委装备发展部,商务部公告2023年第28号,2023-07-31,2023-09-01,废止或失效,,否,pkulaw\raw_pdf\北大法宝无人机中央法规前50\商务部、海关总署、国家国防科工局、中央军委装备发展部关于对部分无人机实施临时出口管制的公告(FBMCLI.4.5172536).pdf,https://www.pkulaw.com/chl/56b34777c0fbc9d3bdfb.html,引证码FBMCLI.4.5172536｜工作文件+含条文
193,pkulaw,法规,部门规范性文件,基于无人机的民用航空飞行校验专用地空数据链系统通用技术应用指导意见(试行),中国民用航空局,,2022-01-25,2022-01-25,现行有效,,否,pkulaw\raw_pdf\北大法宝无人机中央法规前50\基于无人机的民用航空飞行校验专用地空数据链系统通用技术应用指导意见(试行)(FBMCLI.4.5115098).pdf,https://www.pkulaw.com/chl/ba5684a673e63f65bdfb.html,引证码FBMCLI.4.5115098｜有附件｜规范性文件+结构化
194,pkulaw,法规,部门规范性文件,民用无人机操控员执照考试管理服务提供方制度实施办法,中国民用航空局,,2021-12-23,2022-01-01,现行有效,,否,pkulaw\raw_pdf\北大法宝无人机中央法规前50\民用无人机操控员执照考试管理服务提供方制度实施办法(FBMCLI.4.5306048).pdf,https://www.pkulaw.com/chl/107369e1f22d81ddbdfb.html,引证码FBMCLI.4.5306048｜有附件｜规范性文件+结构化
195,pkulaw,法规,部门规范性文件,国家邮政局关于发布《无人机快递投递服务规范》邮政行业标准的通知,国家邮政局,国邮发[2020]66号,2020,2021-01-01,现行有效,,否,pkulaw\raw_pdf\北大法宝无人机中央法规前50\国家邮政局关于发布《无人机快递投递服务规范》邮政行业标准的通知(FBMCLI.4.5109850).pdf,https://www.pkulaw.com/chl/ddb5ed0bd98186edbdfb.html,引证码FBMCLI.4.5109850｜有附件｜规范性文件+结构化
196,pkulaw,法规,部门规范性文件,民航局关于印发《轻小型民用无人机飞行动态数据管理规定》的通知,中国民用航空局,民航规〔2019〕64号,2019-11-19,2019-11-19,现行有效,,否,pkulaw\raw_pdf\北大法宝无人机中央法规前50\民航局关于印发《轻小型民用无人机飞行动态数据管理规定》的通知(FBMCLI.4.337376).pdf,https://www.pkulaw.com/chl/90a68966c8f45b35bdfb.html,引证码FBMCLI.4.337376｜有附件｜规范性文件+结构化
197,pkulaw,法规,部门规范性文件,中国民用航空局航空器适航审定司关于印发《基于运行风险的无人机适航审定指导意见》的通知,中国民用航空局,民航适发〔2019〕3号,2019-01-23,2019-01-23,现行有效,,否,pkulaw\raw_pdf\北大法宝无人机中央法规前50\中国民用航空局航空器适航审定司关于印发《基于运行风险的无人机适航审定指导意见》的通知(FBMCLI.4.329570).pdf,https://www.pkulaw.com/chl/1441efad61742585bdfb.html,引证码FBMCLI.4.329570｜有附件｜规范性文件+结构化
198,pkulaw,案例,司法案例,2017年北京市专利行政保护十大典型案件之一：无人机系列专利侵权纠纷案,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\2017年北京市专利行政保护十大典型案件之一：无人机系列专利侵权纠纷案(FBMCLI.C.86967719).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4ca58995a71f228561690e42aa1b,引证码FBMCLI.C.86967719｜司法案例(单独管线)
199,pkulaw,案例,司法案例,579王宇与田海彦、上海钛灵盾无人机技术有限公司民间借贷纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\579王宇与田海彦、上海钛灵盾无人机技术有限公司民间借贷纠纷一审民事裁定书(FBMCLI.C.322632505).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a398cd29f718ce62d6358320b1e6,引证码FBMCLI.C.322632505｜司法案例(单独管线)
200,pkulaw,案例,司法案例,一航无人机科技（威信）有限公司;张曾宏服务合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\一航无人机科技（威信）有限公司;张曾宏服务合同纠纷一审民事裁定书(FBMCLI.C.573014723).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f816d7c6f06ad494fd9df5df67dc94f0d,引证码FBMCLI.C.573014723｜司法案例(单独管线)
201,pkulaw,案例,司法案例,三胞集团有限公司、深圳市高端无人机有限公司买卖合同纠纷二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\三胞集团有限公司、深圳市高端无人机有限公司买卖合同纠纷二审民事判决书(FBMCLI.C.311340685).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a51049bcf60b9d37a633b5fa6ce3,引证码FBMCLI.C.311340685｜司法案例(单独管线)
202,pkulaw,案例,司法案例,上海市浦东新区人民法院发布10起服务保障航空经济高质量发展典型案例(2021年-2025年)之十：钟某与上海市某中学教育机构责任...,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\上海市浦东新区人民法院发布10起服务保障航空经济高质量发展典型案例(2021年-2025年)之十：钟某与上海市某中学教育机构责任...(FBMCLI.C.574928368).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f8162ff407bb5aca20484ab0d78afa31,引证码FBMCLI.C.574928368｜司法案例(单独管线)
203,pkulaw,案例,司法案例,上海市高级人民法院发布8起依法打击新型网络犯罪典型案例之三：高某、刘某康提供侵入计算机信息系统程序案——为他人提供破...,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\上海市高级人民法院发布8起依法打击新型网络犯罪典型案例之三：高某、刘某康提供侵入计算机信息系统程序案——为他人提供破...(FBMCLI.C.576620106).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f81669afed5c5e87674a1057a3ebc66,引证码FBMCLI.C.576620106｜司法案例(单独管线)
204,pkulaw,案例,司法案例,上海捷网国际物流有限公司、深圳市爱飞无人机技术有限公司等合同纠纷民事管辖上诉管辖裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\上海捷网国际物流有限公司、深圳市爱飞无人机技术有限公司等合同纠纷民事管辖上诉管辖裁定书(FBMCLI.C.419542478).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1a0db299bc4da40b85c352c86571,引证码FBMCLI.C.419542478｜司法案例(单独管线)
205,pkulaw,案例,司法案例,上海红富士家纺有限公司管理人与上海鲲哥无人机科技有限公司请求撤销个别清偿行为纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\上海红富士家纺有限公司管理人与上海鲲哥无人机科技有限公司请求撤销个别清偿行为纠纷一审民事判决书(FBMCLI.C.503837298).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2066a400d642b0b15efc7445beba818,引证码FBMCLI.C.503837298｜司法案例(单独管线)
206,pkulaw,案例,司法案例,上海裕芮信息技术有限公司与台州聚贤无人机科技有限公司委托合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\上海裕芮信息技术有限公司与台州聚贤无人机科技有限公司委托合同纠纷一审民事判决书(FBMCLI.C.312032054).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0aa2cd1dd03ac644bdcb29e268f9f,引证码FBMCLI.C.312032054｜司法案例(单独管线)
207,pkulaw,案例,司法案例,上海裕芮信息技术有限公司与台州聚贤无人机科技有限公司委托合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\上海裕芮信息技术有限公司与台州聚贤无人机科技有限公司委托合同纠纷一审民事裁定书(FBMCLI.C.312597434).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0afc7cf527b678548c6aadce5716f4,引证码FBMCLI.C.312597434｜司法案例(单独管线)
208,pkulaw,案例,司法案例,上海钛灵盾无人机技术有限公司、中顺农业发展（山东）有限公司等买卖合同纠纷民事二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\上海钛灵盾无人机技术有限公司、中顺农业发展（山东）有限公司等买卖合同纠纷民事二审民事判决书(FBMCLI.C.548490817).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2065ed67cec9f01039e177f695cfcc8b,引证码FBMCLI.C.548490817｜有附件｜司法案例(单独管线)
209,pkulaw,案例,司法案例,上海钛灵盾无人机技术有限公司与北京恒聚天德城市规划设计研究院有限公司合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\上海钛灵盾无人机技术有限公司与北京恒聚天德城市规划设计研究院有限公司合同纠纷一审民事判决书(FBMCLI.C.114476806).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc49ba766f84bd299d249d9bbaa327,引证码FBMCLI.C.114476806｜有附件｜司法案例(单独管线)
210,pkulaw,案例,司法案例,东汉太阳能无人机技术有限公司与孙乙月劳动争议一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\东汉太阳能无人机技术有限公司与孙乙月劳动争议一审民事判决书(FBMCLI.C.109996364).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4e4c8b232ac8e02808d492e37d77,引证码FBMCLI.C.109996364｜司法案例(单独管线)
211,pkulaw,案例,司法案例,东汉太阳能无人机技术有限公司与李岳东劳动争议一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\东汉太阳能无人机技术有限公司与李岳东劳动争议一审民事判决书(FBMCLI.C.109742773).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4a2ba40789034828f72966f3273a,引证码FBMCLI.C.109742773｜司法案例(单独管线)
212,pkulaw,案例,司法案例,东汉太阳能无人机技术有限公司与梁士平劳动争议一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\东汉太阳能无人机技术有限公司与梁士平劳动争议一审民事判决书(FBMCLI.C.109716026).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc48a13eac1c0692733875a07cf6d6,引证码FBMCLI.C.109716026｜司法案例(单独管线)
213,pkulaw,案例,司法案例,东汉太阳能无人机技术有限公司与覃慷劳动争议一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\东汉太阳能无人机技术有限公司与覃慷劳动争议一审民事判决书(FBMCLI.C.109626469).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4dbbe46eb1c8b0aad8b46aaa78ac,引证码FBMCLI.C.109626469｜司法案例(单独管线)
214,pkulaw,案例,司法案例,东汉太阳能无人机技术有限公司与陈柽劳动争议一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\东汉太阳能无人机技术有限公司与陈柽劳动争议一审民事判决书(FBMCLI.C.109990572).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4467e369e8f06cbd44276c4387a9,引证码FBMCLI.C.109990572｜司法案例(单独管线)
215,pkulaw,案例,司法案例,东莞市中科科技企业加速器有限公司、东莞市雅联无人机科技有限公司租赁合同纠纷民事二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\东莞市中科科技企业加速器有限公司、东莞市雅联无人机科技有限公司租赁合同纠纷民事二审民事判决书(FBMCLI.C.404294043).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1b115f1e1389b94ae1514ce207d8f,引证码FBMCLI.C.404294043｜司法案例(单独管线)
216,pkulaw,案例,司法案例,东莞市中韩鑫电机有限公司与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\东莞市中韩鑫电机有限公司与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书(FBMCLI.C.99172686).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc403c6fb8bd743f70a55f3a3147c9d,引证码FBMCLI.C.99172686｜司法案例(单独管线)
217,pkulaw,案例,司法案例,东莞市力维升碳纤维制品科技有限公司与富平县韦加无人机科技有限公司、北京韦加智能科技股份有限公司买卖合同纠纷一案民事一...,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\东莞市力维升碳纤维制品科技有限公司与富平县韦加无人机科技有限公司、北京韦加智能科技股份有限公司买卖合同纠纷一案民事一...(FBMCLI.C.317595025).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a36ca053d1aa69cf8b98536226bd,引证码FBMCLI.C.317595025｜司法案例(单独管线)
218,pkulaw,案例,司法案例,东莞市畅科电机有限公司、广东澄星无人机股份有限公司买卖合同纠纷执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\东莞市畅科电机有限公司、广东澄星无人机股份有限公司买卖合同纠纷执行实施类执行裁定书(FBMCLI.C.311406522).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0ae9fd2a18c3b92ccc4f1cabb192e5,引证码FBMCLI.C.311406522｜司法案例(单独管线)
219,pkulaw,案例,司法案例,东莞市畅科电机有限公司与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\东莞市畅科电机有限公司与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书(FBMCLI.C.83950822).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4e78f9d7e6aed294e6b23552313b,引证码FBMCLI.C.83950822｜司法案例(单独管线)
220,pkulaw,案例,司法案例,东莞市金泰胶贴制品有限公司与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\东莞市金泰胶贴制品有限公司与广东澄星无人机股份有限公司买卖合同纠纷一审民事判决书(FBMCLI.C.88720185).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4d06959f25e63af4a8750ba4f8382,引证码FBMCLI.C.88720185｜司法案例(单独管线)
